Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18005_001,SE_A18009_001
18141002400,14000US18141002400,Census Tract 24,"Census Tract 24, St. Joseph County, Indiana",in,140,0,ACSSF,4301,,,,,18,141,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.9344978,867
18141002500,14000US18141002500,Census Tract 25,"Census Tract 25, St. Joseph County, Indiana",in,140,0,ACSSF,4302,,,,,18,141,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.3425414,835
18141002600,14000US18141002600,Census Tract 26,"Census Tract 26, St. Joseph County, Indiana",in,140,0,ACSSF,4303,,,,,18,141,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.0380623,538
18141002700,14000US18141002700,Census Tract 27,"Census Tract 27, St. Joseph County, Indiana",in,140,0,ACSSF,4304,,,,,18,141,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.875,826
18141002800,14000US18141002800,Census Tract 28,"Census Tract 28, St. Joseph County, Indiana",in,140,0,ACSSF,4305,,,,,18,141,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.7536232,728
18141002900,14000US18141002900,Census Tract 29,"Census Tract 29, St. Joseph County, Indiana",in,140,0,ACSSF,4306,,,,,18,141,,,,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.8321678,684
18141003000,14000US18141003000,Census Tract 30,"Census Tract 30, St. Joseph County, Indiana",in,140,0,ACSSF,4307,,,,,18,141,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.6702509,779
18141003100,14000US18141003100,Census Tract 31,"Census Tract 31, St. Joseph County, Indiana",in,140,0,ACSSF,4308,,,,,18,141,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.5087282,828
18141003200,14000US18141003200,Census Tract 32,"Census Tract 32, St. Joseph County, Indiana",in,140,0,ACSSF,4309,,,,,18,141,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.4016736,1059
18141003300,14000US18141003300,Census Tract 33,"Census Tract 33, St. Joseph County, Indiana",in,140,0,ACSSF,4310,,,,,18,141,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.7456647,967
18141003400,14000US18141003400,Census Tract 34,"Census Tract 34, St. Joseph County, Indiana",in,140,0,ACSSF,4311,,,,,18,141,,,,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.8998647,800
18141003500,14000US18141003500,Census Tract 35,"Census Tract 35, St. Joseph County, Indiana",in,140,0,ACSSF,4312,,,,,18,141,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0558882,518
18141010100,14000US18141010100,Census Tract 101,"Census Tract 101, St. Joseph County, Indiana",in,140,0,ACSSF,4313,,,,,18,141,,,,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.1111111,879
18141010200,14000US18141010200,Census Tract 102,"Census Tract 102, St. Joseph County, Indiana",in,140,0,ACSSF,4314,,,,,18,141,,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.4063927,651
18141010300,14000US18141010300,Census Tract 103,"Census Tract 103, St. Joseph County, Indiana",in,140,0,ACSSF,4315,,,,,18,141,,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.2323391,676
18141010400,14000US18141010400,Census Tract 104,"Census Tract 104, St. Joseph County, Indiana",in,140,0,ACSSF,4316,,,,,18,141,,,,10400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0284698,831
18141010500,14000US18141010500,Census Tract 105,"Census Tract 105, St. Joseph County, Indiana",in,140,0,ACSSF,4317,,,,,18,141,,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.877551,762
18141010600,14000US18141010600,Census Tract 106,"Census Tract 106, St. Joseph County, Indiana",in,140,0,ACSSF,4318,,,,,18,141,,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.90938,685
18141010700,14000US18141010700,Census Tract 107,"Census Tract 107, St. Joseph County, Indiana",in,140,0,ACSSF,4319,,,,,18,141,,,,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.3261391,881
18141010800,14000US18141010800,Census Tract 108,"Census Tract 108, St. Joseph County, Indiana",in,140,0,ACSSF,4320,,,,,18,141,,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.6018307,523
18141010900,14000US18141010900,Census Tract 109,"Census Tract 109, St. Joseph County, Indiana",in,140,0,ACSSF,4321,,,,,18,141,,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.5116279,889
18141011000,14000US18141011000,Census Tract 110,"Census Tract 110, St. Joseph County, Indiana",in,140,0,ACSSF,4322,,,,,18,141,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.7075099,844
18141011100,14000US18141011100,Census Tract 111,"Census Tract 111, St. Joseph County, Indiana",in,140,0,ACSSF,4323,,,,,18,141,,,,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.2873563,612
18141011201,14000US18141011201,Census Tract 112.01,"Census Tract 112.01, St. Joseph County, Indiana",in,140,0,ACSSF,4324,,,,,18,141,,,,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.6774194,766
18141011202,14000US18141011202,Census Tract 112.02,"Census Tract 112.02, St. Joseph County, Indiana",in,140,0,ACSSF,4325,,,,,18,141,,,,11202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.129534,908
18141011301,14000US18141011301,Census Tract 113.01,"Census Tract 113.01, St. Joseph County, Indiana",in,140,0,ACSSF,4326,,,,,18,141,,,,11301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.4806254,902
18141011302,14000US18141011302,Census Tract 113.02,"Census Tract 113.02, St. Joseph County, Indiana",in,140,0,ACSSF,4327,,,,,18,141,,,,11302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.5308642,910
