Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A18009_001
"181410011003","15000US181410011003","Block Group 3, Census Tract 11, St. Joseph County, Indiana","Block Group 3, Census Tract 11, St. Joseph County, Indiana","in","150","00","ACSSF","0012767",,,,,"18","141",,,,"001100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589
"181410011004","15000US181410011004","Block Group 4, Census Tract 11, St. Joseph County, Indiana","Block Group 4, Census Tract 11, St. Joseph County, Indiana","in","150","00","ACSSF","0012768",,,,,"18","141",,,,"001100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181410012001","15000US181410012001","Block Group 1, Census Tract 12, St. Joseph County, Indiana","Block Group 1, Census Tract 12, St. Joseph County, Indiana","in","150","00","ACSSF","0012769",,,,,"18","141",,,,"001200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578
"181410012002","15000US181410012002","Block Group 2, Census Tract 12, St. Joseph County, Indiana","Block Group 2, Census Tract 12, St. Joseph County, Indiana","in","150","00","ACSSF","0012770",,,,,"18","141",,,,"001200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181410012003","15000US181410012003","Block Group 3, Census Tract 12, St. Joseph County, Indiana","Block Group 3, Census Tract 12, St. Joseph County, Indiana","in","150","00","ACSSF","0012771",,,,,"18","141",,,,"001200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
"181410016001","15000US181410016001","Block Group 1, Census Tract 16, St. Joseph County, Indiana","Block Group 1, Census Tract 16, St. Joseph County, Indiana","in","150","00","ACSSF","0012782",,,,,"18","141",,,,"001600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740
"181410017001","15000US181410017001","Block Group 1, Census Tract 17, St. Joseph County, Indiana","Block Group 1, Census Tract 17, St. Joseph County, Indiana","in","150","00","ACSSF","0012784",,,,,"18","141",,,,"001700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399
"181410019001","15000US181410019001","Block Group 1, Census Tract 19, St. Joseph County, Indiana","Block Group 1, Census Tract 19, St. Joseph County, Indiana","in","150","00","ACSSF","0012786",,,,,"18","141",,,,"001900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601
"181410112011","15000US181410112011","Block Group 1, Census Tract 112.01, St. Joseph County, Indiana","Block Group 1, Census Tract 112.01, St. Joseph County, Indiana","in","150","00","ACSSF","0012878",,,,,"18","141",,,,"011201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671
"181410112021","15000US181410112021","Block Group 1, Census Tract 112.02, St. Joseph County, Indiana","Block Group 1, Census Tract 112.02, St. Joseph County, Indiana","in","150","00","ACSSF","0012879",,,,,"18","141",,,,"011202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181410112022","15000US181410112022","Block Group 2, Census Tract 112.02, St. Joseph County, Indiana","Block Group 2, Census Tract 112.02, St. Joseph County, Indiana","in","150","00","ACSSF","0012880",,,,,"18","141",,,,"011202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181410113011","15000US181410113011","Block Group 1, Census Tract 113.01, St. Joseph County, Indiana","Block Group 1, Census Tract 113.01, St. Joseph County, Indiana","in","150","00","ACSSF","0012881",,,,,"18","141",,,,"011301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756
"181410113012","15000US181410113012","Block Group 2, Census Tract 113.01, St. Joseph County, Indiana","Block Group 2, Census Tract 113.01, St. Joseph County, Indiana","in","150","00","ACSSF","0012882",,,,,"18","141",,,,"011301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075
"181410113013","15000US181410113013","Block Group 3, Census Tract 113.01, St. Joseph County, Indiana","Block Group 3, Census Tract 113.01, St. Joseph County, Indiana","in","150","00","ACSSF","0012883",,,,,"18","141",,,,"011301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833
"181410113014","15000US181410113014","Block Group 4, Census Tract 113.01, St. Joseph County, Indiana","Block Group 4, Census Tract 113.01, St. Joseph County, Indiana","in","150","00","ACSSF","0012884",,,,,"18","141",,,,"011301","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587
"181410113023","15000US181410113023","Block Group 3, Census Tract 113.02, St. Joseph County, Indiana","Block Group 3, Census Tract 113.02, St. Joseph County, Indiana","in","150","00","ACSSF","0012888",,,,,"18","141",,,,"011302","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663
"181410113024","15000US181410113024","Block Group 4, Census Tract 113.02, St. Joseph County, Indiana","Block Group 4, Census Tract 113.02, St. Joseph County, Indiana","in","150","00","ACSSF","0012889",,,,,"18","141",,,,"011302","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181410113034","15000US181410113034","Block Group 4, Census Tract 113.03, St. Joseph County, Indiana","Block Group 4, Census Tract 113.03, St. Joseph County, Indiana","in","150","00","ACSSF","0012893",,,,,"18","141",,,,"011303","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
