Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A18009_001
"181410012003","Block Group 3, Census Tract 12, St. Joseph County, Indiana","ACSSF","in","150","00","0009040",,,,,"18","141",,,"001200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410012003","Block Group 3",,,,
"181410016001","Block Group 1, Census Tract 16, St. Joseph County, Indiana","ACSSF","in","150","00","0009051",,,,,"18","141",,,"001600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410016001","Block Group 1",,,,1092
"181410017001","Block Group 1, Census Tract 17, St. Joseph County, Indiana","ACSSF","in","150","00","0009053",,,,,"18","141",,,"001700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410017001","Block Group 1",,,,416
"181410019001","Block Group 1, Census Tract 19, St. Joseph County, Indiana","ACSSF","in","150","00","0009055",,,,,"18","141",,,"001900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410019001","Block Group 1",,,,471
"181410112031","Block Group 1, Census Tract 112.03, St. Joseph County, Indiana","ACSSF","in","150","00","0009148",,,,,"18","141",,,"011203","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410112031","Block Group 1",,,,1103
"181410112032","Block Group 2, Census Tract 112.03, St. Joseph County, Indiana","ACSSF","in","150","00","0009149",,,,,"18","141",,,"011203","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410112032","Block Group 2",,,,796
"181410112033","Block Group 3, Census Tract 112.03, St. Joseph County, Indiana","ACSSF","in","150","00","0009150",,,,,"18","141",,,"011203","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410112033","Block Group 3",,,,
"181410113035","Block Group 5, Census Tract 113.03, St. Joseph County, Indiana","ACSSF","in","150","00","0009155",,,,,"18","141",,,"011303","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113035","Block Group 5",,,,767
"181410113071","Block Group 1, Census Tract 113.07, St. Joseph County, Indiana","ACSSF","in","150","00","0009162",,,,,"18","141",,,"011307","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113071","Block Group 1",,,,897
"181410113073","Block Group 3, Census Tract 113.07, St. Joseph County, Indiana","ACSSF","in","150","00","0009164",,,,,"18","141",,,"011307","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113073","Block Group 3",,,,
"181410113091","Block Group 1, Census Tract 113.09, St. Joseph County, Indiana","ACSSF","in","150","00","0009168",,,,,"18","141",,,"011309","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113091","Block Group 1",,,,1040
"181410113092","Block Group 2, Census Tract 113.09, St. Joseph County, Indiana","ACSSF","in","150","00","0009169",,,,,"18","141",,,"011309","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113092","Block Group 2",,,,603
"181410113101","Block Group 1, Census Tract 113.10, St. Joseph County, Indiana","ACSSF","in","150","00","0009171",,,,,"18","141",,,"011310","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113101","Block Group 1",,,,
"181410113102","Block Group 2, Census Tract 113.10, St. Joseph County, Indiana","ACSSF","in","150","00","0009172",,,,,"18","141",,,"011310","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113102","Block Group 2",,,,1104
"181410113103","Block Group 3, Census Tract 113.10, St. Joseph County, Indiana","ACSSF","in","150","00","0009173",,,,,"18","141",,,"011310","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US181410113103","Block Group 3",,,,795
